nist/AP203 geometry only/nist_ctc_01_asme1_rd.stp: 1 solids, 139 faces [P80 Cy57 S0 Co2 T0 B0 R0], 0 primitive, oracle 1/1, assemble no (solid is not a recognised primitive)
nist/AP203 geometry only/nist_ctc_02_asme1_rc.stp: 1 solids, 663 faces [P129 Cy318 S24 Co158 T0 B34 R0], 0 primitive, oracle 1/1, assemble no (solid is not a recognised primitive)
nist/AP203 geometry only/nist_ctc_03_asme1_rc.stp: 1 solids, 139 faces [P86 Cy53 S0 Co0 T0 B0 R0], 0 primitive, oracle 1/1, assemble no (solid is not a recognised primitive)
nist/AP203 geometry only/nist_ctc_04_asme1_rd.stp: 1 solids, 517 faces [P112 Cy238 S22 Co116 T29 B0 R0], 0 primitive, oracle 0/1, assemble no (solid is not a recognised primitive)
nist/AP203 geometry only/nist_ctc_05_asme1_rd.stp: 1 solids, 208 faces [P62 Cy100 S4 Co26 T7 B9 R0], 0 primitive, oracle 0/1, assemble no (solid is not a recognised primitive)
nist/AP203 geometry only/nist_ftc_06_asme1_rd.stp: 1 solids, 144 faces [P71 Cy58 S5 Co4 T6 B0 R0], 0 primitive, oracle 1/1, assemble no (solid is not a recognised primitive)
nist/AP203 geometry only/nist_ftc_07_asme1_rd.stp: 1 solids, 269 faces [P73 Cy106 S18 Co28 T24 B20 R0], 0 primitive, oracle 0/1, assemble no (solid is not a recognised primitive)
nist/AP203 geometry only/nist_ftc_08_asme1_rc.stp: 1 solids, 270 faces [P81 Cy157 S20 Co0 T12 B0 R0], 0 primitive, oracle 0/1, assemble no (solid is not a recognised primitive)
nist/AP203 geometry only/nist_ftc_09_asme1_rd.stp: 1 solids, 158 faces [P62 Cy88 S0 Co8 T0 B0 R0], 0 primitive, oracle 1/1, assemble no (solid is not a recognised primitive)
nist/AP203 geometry only/nist_ftc_10_asme1_rb.stp: 1 solids, 214 faces [P53 Cy103 S10 Co8 T39 B1 R0], 0 primitive, oracle 0/1, assemble no (solid is not a recognised primitive)
nist/AP203 geometry only/nist_ftc_11_asme1_rb.stp: 1 solids, 6 faces [P2 Cy2 S0 Co0 T2 B0 R0], 0 primitive, oracle 1/1, assemble no (solid is not a recognised primitive)
nist/AP203 with PMI/nist_ctc_01_asme1_ap203.stp: 1 solids, 139 faces [P80 Cy57 S0 Co2 T0 B0 R0], 0 primitive, oracle 1/1, assemble no (solid is not a recognised primitive)
